in:GlzRatio,in:Orientation,in:HVAC,in:SHGC,in:ShadeType,in:UValue(IP),out:PeakCool,out:PeakHeat,out:HVACSize,out:EUI,img
0.5,N,VAV,0.25,None,0.25,3527.216925,2649.46161,3527.216925,48.395028,180_0_0.5_0.25_0.25_0_11.708443_16.925665_19.76092_3527.216925_2649.46161_3527.216925_48.395028.png
0.5,N,Hydr,0.25,None,0.25,3527.216925,2649.46161,3527.216925,29.393955,180_1_0.5_0.25_0.25_0_3.648846_8.738063_17.007045_3527.216925_2649.46161_3527.216925_29.393955.png
0.6,N,VAV,0.25,None,0.25,3736.75842,2842.575348,3736.75842,50.867485,180_0_0.6_0.25_0.25_0_12.388851_18.375128_20.103506_3736.75842_2842.575348_3736.75842_50.867485.png
0.6,N,Hydr,0.25,None,0.25,3736.75842,2842.575348,3736.75842,30.297935,180_1_0.6_0.25_0.25_0_3.791454_9.425953_17.080529_3736.75842_2842.575348_3736.75842_30.297935.png
0.7,N,VAV,0.25,None,0.25,3945.27245,3035.878562,3945.27245,53.353952,180_0_0.7_0.25_0.25_0_13.06281_19.847256_20.443886_3945.27245_3035.878562_3945.27245_53.353952.png
0.7,N,Hydr,0.25,None,0.25,3945.27245,3035.878562,3945.27245,31.222269,180_1_0.7_0.25_0.25_0_3.933459_10.134311_17.154499_3945.27245_3035.878562_3945.27245_31.222269.png
0.8,N,VAV,0.25,None,0.25,4197.989444,3212.723824,4197.989444,55.809004,180_0_0.8_0.25_0.25_0_13.86538_21.11022_20.833404_4197.989444_3212.723824_4197.989444_55.809004.png
0.8,N,Hydr,0.25,None,0.25,4197.989444,3212.723824,4197.989444,32.042055,180_1_0.8_0.25_0.25_0_4.155405_10.636595_17.250055_4197.989444_3212.723824_4197.989444_32.042055.png
0.2,N,VAV,0.15,None,0.4,2793.505544,2328.264537,2793.505544,42.592357,180_0_0.2_0.15_0.4_0_9.313387_14.633945_18.645024_2793.505544_2328.264537_2793.505544_42.592357.png
0.2,N,Hydr,0.15,None,0.4,2793.505544,2328.264537,2793.505544,28.016572,180_1_0.2_0.15_0.4_0_2.962116_8.328057_16.726399_2793.505544_2328.264537_2793.505544_28.016572.png
0.3,N,VAV,0.15,None,0.4,2947.139746,2656.607044,2947.139746,45.82193,180_0_0.3_0.15_0.4_0_9.804811_17.083577_18.933542_2947.139746_2656.607044_2947.139746_45.82193.png
0.3,N,Hydr,0.15,None,0.4,2947.139746,2656.607044,2947.139746,29.679179,180_1_0.3_0.15_0.4_0_2.988716_9.914805_16.775658_2947.139746_2656.607044_2947.139746_29.679179.png
0.4,N,VAV,0.15,None,0.4,3118.256908,2981.175483,3118.256908,49.154434,180_0_0.4_0.15_0.4_0_10.333914_19.584366_19.236154_3118.256908_2981.175483_3118.256908_49.154434.png
0.4,N,Hydr,0.15,None,0.4,3118.256908,2981.175483,3118.256908,31.391311,180_1_0.4_0.15_0.4_0_3.037177_11.519368_16.834766_3118.256908_2981.175483_3118.256908_31.391311.png
0.5,N,VAV,0.15,None,0.4,3280.016989,3301.958186,3301.958186,52.471119,180_0_0.5_0.15_0.4_0_10.848262_22.088108_19.534749_3280.016989_3301.958186_3301.958186_52.471119.png
0.5,N,Hydr,0.15,None,0.4,3280.016989,3301.958186,3301.958186,33.139003,180_1_0.5_0.15_0.4_0_3.083906_13.159162_16.895934_3280.016989_3301.958186_3301.958186_33.139003.png
0.6,N,VAV,0.15,None,0.4,3435.441439,3619.53327,3619.53327,55.755117,180_0_0.6_0.15_0.4_0_11.340869_24.588893_19.825354_3435.441439_3619.53327_3619.53327_55.755117.png
0.6,N,Hydr,0.15,None,0.4,3435.441439,3619.53327,3619.53327,34.908559,180_1_0.6_0.15_0.4_0_3.132773_14.818292_16.957494_3435.441439_3619.53327_3619.53327_34.908559.png
0.7,N,VAV,0.15,None,0.4,3590.681054,3935.192847,3935.192847,59.006924,180_0_0.7_0.15_0.4_0_11.810562_27.091846_20.104517_3590.681054_3935.192847_3935.192847_59.006924.png
0.7,N,Hydr,0.15,None,0.4,3590.681054,3935.192847,3935.192847,36.691231,180_1_0.7_0.15_0.4_0_3.18468_16.485552_17.021_3590.681054_3935.192847_3935.192847_36.691231.png
0.8,N,VAV,0.15,None,0.4,3767.495025,4231.637118,4231.637118,62.160798,180_0_0.8_0.15_0.4_0_12.371286_29.368296_20.421216_3767.495025_4231.637118_4231.637118_62.160798.png
0.8,N,Hydr,0.15,None,0.4,3767.495025,4231.637118,4231.637118,38.315251,180_1_0.8_0.15_0.4_0_3.277647_17.944694_17.09291_3767.495025_4231.637118_4231.637118_38.315251.png
0.2,N,VAV,0.25,None,0.4,2940.261312,2328.264537,2940.261312,43.215998,180_0_0.2_0.25_0.4_0_9.800568_14.559307_18.856123_2940.261312_2328.264537_2940.261312_43.215998.png
0.2,N,Hydr,0.25,None,0.4,2940.261312,2328.264537,2940.261312,27.964467,180_1_0.2_0.25_0.4_0_3.13785_8.039936_16.786681_2940.261312_2328.264537_2940.261312_27.964467.png
