in:Top Thickness [in],in:Spacing [in],in:Water Temp [F],in: Solar Flux [BTU/sf],out:Slab Flux,out:Convect Flux,out:Rad Flux,out:Cold Temp,out:Deg Condensing,out:Deg Cond No Sun,img
3,4,60,100,91.118459,-0.32118,91.439638,69.311606,14.343606,7.66944,NCGMtherm3060100_View2.png
4,4,60,100,85.711368,-1.027965,86.739333,69.413468,14.445468,8.23833,NCGMtherm4060100_View2.png
2,8,60,100,81.034362,-2.583771,83.618132,72.40154,17.43354,7.684614,NCGMtherm2160100_View2.png
3,8,60,100,77.20827,-3.152473,80.360743,72.28274,17.31474,8.683218,NCGMtherm3160100_View2.png
4,8,60,100,73.155941,-3.686917,76.842857,72.208886,17.240886,9.310086,NCGMtherm4160100_View2.png
2,12,60,100,65.685818,-4.561864,70.247682,73.06646,18.09846,8.132328,NCGMtherm2260100_View2.png
3,12,60,100,64.013603,-4.823973,68.837577,72.894848,17.926848,9.320886,NCGMtherm3260100_View2.png
4,12,60,100,61.361204,-5.184858,66.546062,72.784868,17.816868,10.075482,NCGMtherm4260100_View2.png
2,16,60,100,53.515882,-5.656685,59.172568,73.455728,18.487728,8.325756,NCGMtherm2360100_View2.png
3,16,60,100,53.1969,-6.138688,59.335587,73.278986,18.310986,9.673056,NCGMtherm3360100_View2.png
4,16,60,100,51.628772,-6.393217,58.02199,73.156172,18.188172,10.561266,NCGMtherm4360100_View2.png
2,24,60,100,37.528148,-7.925419,45.453567,73.71968,18.75168,8.54595,NCGMtherm2460100_View2.png
3,24,60,100,38.134747,-7.91768,46.052427,73.581674,18.613674,10.021032,NCGMtherm3460100_View2.png
4,24,60,100,37.635234,-8.01409,45.649323,73.479074,18.511074,10.996578,NCGMtherm4460100_View2.png
