in:Orientation (deg),in:Sill (ft),in:Overhang (ft),in:Roof Angle (deg),in:Ceiling (ft),out:EUI (kBTU/ft2),out:Hrs of Glare,out:Daylit Flr Area (%),out:peakCool(BTU/hr),out: Peak Heat (BTU/hr),img
10,3,0,10,10,38.234026,2.879453,84.666664,5241.90855,2056.98365,"orientation,10_sill,3_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,0,10,10,38.036272,3.027397,82.66665,5139.23509,2056.98371,"orientation,20_sill,3_overhang,0_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,2,10,10,41.080932,2.224658,98.66667,5848.01191,2347.98191,"orientation,0_sill,0_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,2,10,10,41.081539,2.254795,91.33333,5814.01329,2347.72418,"orientation,10_sill,0_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,2,10,10,40.618367,2.369862,90.666649,5636.22945,2347.72424,"orientation,20_sill,0_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,2,10,10,34.268446,2.224658,100.000004,4265.83335,2039.45748,"orientation,0_sill,3_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,3,2,10,10,34.136603,2.254795,99.999996,4234.77889,2039.26292,"orientation,10_sill,3_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,2,10,10,33.694014,2.369862,99.999982,4103.20736,2039.26297,"orientation,20_sill,3_overhang,2_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,4,10,10,37.353725,1.682192,95.333336,4866.70706,2333.10239,"orientation,0_sill,0_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,4,10,10,37.161013,1.791781,97.999996,4823.4152,2332.92458,"orientation,10_sill,0_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,4,10,10,36.59013,1.852054,99.333316,4655.25705,2332.92464,"orientation,20_sill,0_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,4,10,10,30.790408,1.682192,85.333335,3314.78622,2026.43641,"orientation,0_sill,3_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,3,4,10,10,30.536864,1.791781,89.999998,3274.95992,2026.44499,"orientation,10_sill,3_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,4,10,10,30.053157,1.852054,91.333318,3160.87425,2026.44505,"orientation,20_sill,3_overhang,4_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,6,10,10,34.075022,1.317808,68.666668,3947.86812,2321.86017,"orientation,0_sill,0_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,6,10,10,33.77944,1.213699,70,3900.44918,2321.8749,"orientation,10_sill,0_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,6,10,10,33.171625,1.29589,73.999989,3757.92048,2321.87496,"orientation,20_sill,0_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,6,10,10,28.100614,1.317808,56,2513.9662,2017.84229,"orientation,0_sill,3_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,3,6,10,10,27.790643,1.213699,58.666665,2477.49429,2017.87083,"orientation,10_sill,3_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,6,10,10,27.479518,1.29589,63.333326,2401.11999,2017.87089,"orientation,20_sill,3_overhang,6_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,8,10,10,31.327824,0.989041,46.666668,3140.58038,2313.95302,"orientation,0_sill,0_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,8,10,10,30.990311,0.923288,47.999998,3100.84077,2313.95119,"orientation,10_sill,0_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,8,10,10,30.514889,0.923287,52.666661,3000.44706,2313.95125,"orientation,20_sill,0_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,8,10,10,26.141505,0.989041,46.000001,1942.90833,2012.33389,"orientation,0_sill,3_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,3,8,10,10,25.923089,0.923288,46.666665,1936.25892,2012.39168,"orientation,10_sill,3_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,8,10,10,25.885287,0.923287,45.999995,1924.95448,2012.39173,"orientation,20_sill,3_overhang,8_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,10,10,10,28.992051,0.775342,37.333334,2484.77678,2308.01912,"orientation,0_sill,0_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,0,10,10,10,28.753447,0.641096,37.333332,2471.52865,2308.09082,"orientation,10_sill,0_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,0,10,10,10,28.511843,0.630137,40.666663,2431.47993,2308.09088,"orientation,20_sill,0_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,3,10,10,10,25.93943,0.775342,28.666667,1846.86563,2008.42874,"orientation,0_sill,3_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
10,3,10,10,10,25.672696,0.641096,29.333333,1832.29581,2008.50131,"orientation,10_sill,3_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
20,3,10,10,10,25.726377,0.630137,29.999997,1825.91237,2008.50136,"orientation,20_sill,3_overhang,10_roofAngle,10_ceilingHeight,10__CaptureView.png"
0,0,0,0,12.5,52.40444,3.084932,83.333337,8055.67274,2642.35352,"orientation,0_sill,0_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,0,0,12.5,52.831374,3.446576,82.666664,8042.18265,2642.35352,"orientation,10_sill,0_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,0,0,12.5,52.718374,3.624657,77.333317,7863.36068,2642.35359,"orientation,20_sill,0_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,3,0,0,12.5,45.333865,3.090411,89.333337,6552.24603,2340.57583,"orientation,0_sill,3_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,0,0,12.5,45.591688,3.454795,82.666664,6544.34938,2340.57582,"orientation,10_sill,3_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,0,0,12.5,45.440793,3.632876,77.333317,6411.76585,2340.57588,"orientation,20_sill,3_overhang,0_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,2,0,12.5,49.384762,2.778082,90.66667,7388.31692,2628.80043,"orientation,0_sill,0_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,2,0,12.5,49.538805,3.090412,90.666663,7340.7128,2628.41321,"orientation,10_sill,0_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,2,0,12.5,49.124207,3.208218,83.333317,7120.9257,2628.41328,"orientation,20_sill,0_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,3,2,0,12.5,42.35074,2.778082,100.000004,5867.55882,2327.28524,"orientation,0_sill,3_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,2,0,12.5,42.317071,3.090412,99.999996,5823.54419,2326.99777,"orientation,10_sill,3_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,2,0,12.5,41.851781,3.208218,85.999984,5648.08773,2326.99783,"orientation,20_sill,3_overhang,2_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,4,0,12.5,46.399652,2.506849,99.333337,6679.80807,2617.18124,"orientation,0_sill,0_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,4,0,12.5,46.363363,2.791781,94.666663,6622.42218,2616.98533,"orientation,10_sill,0_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,4,0,12.5,45.723988,2.89041,91.333316,6381.61363,2616.9854,"orientation,20_sill,0_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,3,4,0,12.5,39.501147,2.506849,100.000004,5162.65734,2316.67642,"orientation,0_sill,3_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,4,0,12.5,39.300454,2.791781,99.999996,5106.81091,2316.48269,"orientation,10_sill,3_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,4,0,12.5,38.670611,2.89041,99.999982,4919.91055,2316.48275,"orientation,20_sill,3_overhang,4_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,6,0,12.5,43.739686,2.350685,100.000004,6003.43167,2608.39148,"orientation,0_sill,0_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,6,0,12.5,43.5193,2.534247,99.999996,5936.61305,2608.22641,"orientation,10_sill,0_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,6,0,12.5,42.74085,2.526027,98.66665,5699.34306,2608.22648,"orientation,20_sill,0_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,3,6,0,12.5,37.032529,2.350685,100.000004,4501.21165,2308.87566,"orientation,0_sill,3_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,3,6,0,12.5,36.704379,2.534247,99.999996,4439.04714,2308.85732,"orientation,10_sill,3_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,3,6,0,12.5,35.998563,2.526027,99.999982,4257.46254,2308.85739,"orientation,20_sill,3_overhang,6_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
0,0,8,0,12.5,41.327872,2.052055,100.000004,5367.06868,2601.28954,"orientation,0_sill,0_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
10,0,8,0,12.5,40.963244,2.271233,99.999996,5285.09242,2601.30688,"orientation,10_sill,0_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
20,0,8,0,12.5,40.154606,2.282191,99.999982,5064.85599,2601.30695,"orientation,20_sill,0_overhang,8_roofAngle,0_ceilingHeight,12.5__CaptureView.png"
